no. with space,sender,message,date,geolat,geolon
212,osejobea,fumi-free calls ang viber dahil sa bagyong yolanda ? taruuush !,Mon Nov 11 19:34:07 CST 2014,14.4302026,120.9783806
213,ErtMadriaga,sakit sa dibdib ! nakakapanlumong mga balita . # yolandaph # tvpatrol,Mon Nov 11 19:42:09 CST 2014,14.6888123,121.0373204
214,ErtMadriaga,ang sarap yakapin ng mga umiiyak para damayan sila . # yolandaph # tvpatrol,Mon Nov 11 19:53:28 CST 2014,14.6888123,121.0373204
215,iDatgirl,heartbreaking news . tears are flowing . first time kong manood ng news naumiiyak . kaluoy an mga tawo sa visayas . : ( # tvpatrol # yolandaph,Mon Nov 11 19:59:24 CST 2014,14.5636604,121.0912319
216,iammickeysantos,our thoughts and prayers goes out to all the victims of typhoon yolanda .,Mon Nov 11 20:06:55 CST 2014,14.3466557,121.0645933
218,ErtMadriaga,4 days na hindi kumakain mga matatanda at bata . # yolandaph # tvpatrol # prayforthephilippines,Mon Nov 11 20:09:43 CST 2014,14.6890576,121.0373370
221,aronchot,we are so amaze in the filipino spirit # yolandaph,Mon Nov 11 20:16:33 CST 2014,15.3633469,120.9352635
225,letyvitug,@ abscbnnews asan na po ang mga donasyon na galing sa uba ibang bansa ? kakakilabot na po sa awa sng mga biktima ng yolanda na yan !,Mon Nov 11 20:32:33 CST 2014,14.9865713,120.5009994
226,mullinshabu,i think yolanda and vevo are friends omg ! 1 ! ! 1 ! 1 ! 1 ! 1 ! ! shet,Mon Nov 11 20:34:11 CST 2014,14.6031401,121.1158118
227,ClarissaUlrica,help the victims . # yolanda # november2013 # help # bepositive @ tulay bato http : / / t.co / mvdbcomwr3,Mon Nov 11 20:39:27 CST 2014,14.3270123,121.0925961
228,SharryMendoza,prayers for the victims of yolanda .,Mon Nov 11 20:41:38 CST 2014,14.6920400,121.1145700
