date,question,text,tweetid,userid,username
 Wed Dec 05 13:17:09 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @dost_pagasa At 08:00PM 5/DEC/2012 the eye of Typhoon #PabloPH was located at 160km Northwest of Roxas... http://t.co/6mWWGR8N,2.76E17,92174767, DZMMTeleRadyo
 Wed Dec 05 13:33:31 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #PabloPH are you seeing this? What can you say for yourself mister? http://t.co/33rqlQLj,2.76E17,337058373, johneldz18
 Wed Dec 05 13:07:30 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Philippines death toll from Typhoon Bopha jumps to more than 270http://t.co/Ug24uEDg #Philippines  #Bopha  #News,2.76E17,581096559, NewsHorn
 Wed Dec 05 13:15:24 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @rightnowio_feed: 140 people killed in the typhoon 170000 displaced s... http://t.co/AqPDGcjm #Pabloph #Bophaph #Philippines #Davao ...,2.76E17,983726060, SEAtoday
 Wed Dec 05 13:16:56 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet,  @DZMMTeleRadyo:  @dost_pagasa At 07:00PM 5/DEC/2012 the eye of Typhoon #PabloPH was located at 150km Northwest of Roxas... http:/ ...,2.76E17,214449737, IamLuwish
 Wed Dec 05 13:30:10 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, @un_spider @disasterschart activated for cyclone in Philippines for satellite imagery of #Bopha storm surge  http://t.co/KP7Dz9p6,2.76E17,22955968, kebap
 Wed Dec 05 13:42:39 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Aftermath of #PabloPH in Baganga Davao Oriental. No power telcom food nor help since early hrs of Dec 3 #RescuePH http://t.co/YgmPeVNk,2.76E17,15468997, kricket_rc234
 Wed Dec 05 13:45:45 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, â€œ@SBSNews: 238 dead hundreds missing in #Philippines after typhoon #Bopha http://t.co/U6Rs0OzVâ€ù lets all pray for recoveryâ€_ scaryâ€_,2.76E17,525889058, announcerHANNA
 Wed Dec 05 13:51:26 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #Typhoon #Bopha hits the #Philippines. At least 270 dead - please send your well wishes and #support: http://t.co/aOgww9JO,2.76E17,542164243, EchoTradeCo
 Wed Dec 05 13:52:51 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Ecco un video degli effetti del tifone #Bopha che nelle #Filippine ha giÃ  ucciso circa 240 persone http://t.co/sEuemjmZ,2.76E17,132790743, galileoedit
